ID,Level,Category,Content,Type,Image ,,,,,
238,Intermediate,Recognizing and Responding,This is my favorite toy.,Phrase,file:///D:/jdk/FYP/Dataset_images/200-300/my%20fav%20toy.svg,,,,,
239,Intermediate,Recognizing and Responding,I can do it.,Phrase,file:///D:/jdk/FYP/Dataset_images/200-300/i%20can%20do%20it.svg,,,,,
240,Intermediate,Recognizing and Responding,I don't understand.,Phrase,file:///D:/jdk/FYP/Dataset_images/200-300/i%20dont%20underatand.svg,,,,,
241,Intermediate,Recognizing and Responding,Please wait.,Phrase,file:///D:/jdk/FYP/Dataset_images/200-300/ppls%20wait.svg,,,,,
242,Intermediate,Simple Directions,Come here.,Phrase,file:///D:/jdk/FYP/Dataset_images/200-300/please%20come%20here.svg,,,,,
243,Intermediate,Simple Directions,Sit down.,Phrase,,,,,,
244,Intermediate,Simple Directions,Stand up.,Phrase,file:///D:/jdk/FYP/Dataset_images/200-300/stand%20up.svg,,,,,
245,Intermediate,Simple Directions,Look at me.,Phrase,file:///D:/jdk/FYP/Dataset_images/200-300/look%20@%20me.svg,,,,,
246,Intermediate,Simple Directions,Hold my hand.,Phrase,file:///D:/jdk/FYP/Dataset_images/200-300/holdmyhand.svg,,,,,
247,Intermediate,Calming and Soothing Phrases,Take a deep breath.,Phrase,,,,,,
248,Intermediate,Calming and Soothing Phrases,"It's okay, calm down.",Phrase,file:///D:/jdk/FYP/Dataset_images/200-300/its%20ok%20calm%20down.svg,,,,,
249,Intermediate,Calming and Soothing Phrases,We can try again.,Phrase,file:///D:/jdk/FYP/Dataset_images/200-300/try%20again.svg,,,,,
252,Intermediate,Time and Days,What time is it?,Phrase,file:///D:/jdk/FYP/Dataset_images/200-300/WHAT%20TIME%20ISIT.svg,,,,,
253,Intermediate,Time and Days,It is morning.,Phrase,file:///D:/jdk/FYP/Dataset_images/200-300/it%20i%20morning.svg,,,,,
254,Intermediate,Time and Days,It is evening.,Phrase,file:///D:/jdk/FYP/Dataset_images/200-300/it%20is%20evenng.svg,,,,,
255,Intermediate,Time and Days,Tomorrow is Monday.,Phrase,file:///D:/jdk/FYP/Dataset_images/200-300/tomorw%20is%20min.svg,,,,,
256,Intermediate,Time and Days,Let's go to bed now.,Phrase,,,,,,
257,Intermediate,Environment and Nature,I see the sun.,Phrase,file:///D:/jdk/FYP/Dataset_images/200-300/i%20c%20sun.svg,,,,,
258,Intermediate,Environment and Nature,It is raining.,Phrase,file:///D:/jdk/FYP/Dataset_images/200-300/it%20is%20raining.svg,,,,,
259,Intermediate,Environment and Nature,Look at the clouds.,Phrase,file:///D:/jdk/FYP/Dataset_images/200-300/look%20@%20clouds.svg,,,,,
260,Intermediate,Environment and Nature,The tree is tall.,Phrase,file:///D:/jdk/FYP/Dataset_images/200-300/tree%20takl.svg,,,,,
261,Intermediate,Environment and Nature,I like the flowers.,Phrase,file:///D:/jdk/FYP/Dataset_images/200-300/i%20like%20phhol.svg,,,,,
262,Proficient,Social Interaction,I want to play with my toys.,Sentence,,,,,,
263,Proficient,Self-Care / Requests,Can you help me put on my jacket?,Sentence,,,,,,
264,Proficient,Self-Care / Needs,I need to use the bathroom now.,Sentence,,,,,,
265,Proficient,Emotions / Self-Regulation,I am feeling tired and need to rest.,Sentence,,,,,,
266,Proficient,Emotions / Sensory,I do not like the noise.,Sentence,,,,,,
267,Proficient,Requests / Daily Tasks,Can you help me with my homework?,Sentence,,,,,,
268,Proficient,Emotions / Daily Activities,I feel happy when I play outside.,Sentence,,,,,,
269,Proficient,Requests / Needs,I want to drink some water.,Sentence,,,,,,
270,Proficient,Daily Routine / Time,It is time for me to go to bed.,Sentence,,,,,,
271,Proficient,Self-Care / Routine,I need to brush my teeth before bed.,Sentence,,,,,,
272,Proficient,Communication / Emotions,I do not understand what you mean.,Sentence,,,,,,
273,Proficient,Leisure / Social,I want to watch my favorite show.,Sentence,,,,,,
274,Proficient,Self-Care / Hygiene,I need to wash my hands before eating.,Sentence,,,,,,
275,Proficient,Social Interaction,Can you give me a hug?,Sentence,,,,,,
276,Proficient,Emotions / Self-Regulation,I am feeling sad today.,Sentence,,,,,,
277,Proficient,Leisure / Social,I want to go to the park now.,Sentence,,,,,,
278,Proficient,Social Interaction,I like playing with my friends.,Sentence,,,,,,
279,Proficient,Self-Care / Requests,I need help tying my shoes.,Sentence,,,,,,
280,Proficient,Daily Tasks / Requests,Can you help me clean up my room?,Sentence,,,,,,
281,Proficient,Sensory / Emotions,I do not like when it is too loud.,Sentence,,,,,,
282,Proficient,Emotions / Self-Regulation,I feel scared when it is dark.,Sentence,,,,,,
283,Proficient,Social Interaction,Can you tell me a story?,Sentence,,,,,,
284,Proficient,Play / Social Interaction,I want to play with my blocks.,Sentence,,,,,,
285,Proficient,Emotions / Self-Regulation,I need some time alone to calm down.,Sentence,,,,,,
286,Proficient,Self-Care / Eating,I like to eat my food with a spoon.,Sentence,,,,,,
287,Proficient,Requests / Needs,Can I have my toy car?,Sentence,,,,,,
288,Proficient,Environment / Needs,"It is raining outside, so we need an umbrella.",Sentence,,,,,,
289,Proficient,Daily Routine / Time,I don is want to go to bed yet.,Sentence,,,,,,
290,Proficient,Self-Care / Routine,I need to put my shoes on before we leave.,Sentence,,,,,,
291,Proficient,Emotions / Self-Regulation,I am feeling frustrated right now.,Sentence,,,,,,
292,Proficient,Leisure / Social,I want to go to the zoo today.,Sentence,,,,,,
293,Proficient,Requests / Needs,Can you turn on the TV for me?,Sentence,,,,,,
294,Proficient,Sensory / Preferences,I do not like the taste of that food.,Sentence,,,,,,
295,Proficient,Leisure / Requests,Can we go to the store tomorrow?,Sentence,,,,,,
296,Proficient,Emotions / Social,I feel excited to see my friend.,Sentence,,,,,,
297,Proficient,Requests / Needs,I need to go home now.,Sentence,,,,,,
298,Proficient,Leisure / Play,I want to play outside with my ball.,Sentence,,,,,,
299,Proficient,Emotions / Social,I feel nervous when I meet new people.,Sentence,,,,,,
300,Proficient,Requests / Help,Can you help me carry my bag?,Sentence,,,,,,
301,Proficient,Play / Social Interaction,I like playing with my stuffed animal.,Sentence,,,,,,
302,Proficient,Daily Routine / Time,It is time for me to eat lunch.,Sentence,,,,,,
303,Proficient,Requests / Learning,Can you show me how to do this?,Sentence,,,,,,
304,Proficient,Self-Regulation / Requests,I need to sit down for a while.,Sentence,,,,,,
305,Proficient,Emotions / Self-Regulation,I want to take a break.,Sentence,,,,,,
306,Proficient,Emotions / Self-Regulation,I am feeling better now.,Sentence,,,,,,
307,Proficient,Requests / Needs,I can not find my favorite book.,Sentence,,,,,,
308,Proficient,Social Interaction,I want to tell you something.,Sentence,,,,,,
309,Proficient,Social Interaction / Leisure,Can we do something fun together?,Sentence,,,,,,
310,Proficient,Social Interaction / Emotions,I feel good when I help others.,Sentence,,,,,,
311,Proficient,Requests / Preferences,I do not want to go to that place.,Sentence,,,,,,
312,Expert,Spending Time with Family,I love spending time with my family. We play together and have fun. We also talk and share stories.,Paragraph,,,,,,
313,Expert,Calming Down When Upset,"When I feel upset, I sit quietly and breathe deeply to feel better. It helps me calm my mind.",Paragraph,,,,,,
314,Expert,Morning Routine,"I wake up, brush my teeth, and eat breakfast every morning. After that, I get dressed and start my day.",Paragraph,,,,,,
315,Expert,Asking for Help,I ask for help when I need it. It is okay to ask. Asking makes things easier for me.,Paragraph,,,,,,
316,Expert,Playing with Friends,"I play games with my friends. We have fun together. Sometimes, we play outside in the yard.",Paragraph,,,,,,
317,Expert,Feeling Excited with Friends,I feel happy when I see my friends. We laugh and play. We always find something fun to do.,Paragraph,,,,,,
318,Expert,Washing Hands After Eating,I wash my hands before eating to stay clean. I also wash them after playing outside.,Paragraph,,,,,,
319,Expert,Taking Breaks,I take breaks when I feel tired. It helps me feel better. I rest for a few minutes to recharge.,Paragraph,,,,,,
320,Expert,Spending Time with Family at Home,My family and I cook dinner together. We talk and enjoy it. We also clean up together after.,Paragraph,,,,,,
321,Expert,Feeling Nervous,"When I feel nervous, I talk to my mom. She helps me feel calm. I take deep breaths too.",Paragraph,,,,,,
322,Expert,Listening Carefully,I listen carefully when people talk to me. It helps me understand. I try not to interrupt when they speak.,Paragraph,,,,,,
323,Expert,Talking About Problems,I talk to someone when I have a problem. It helps me feel better. Talking makes me feel supported.,Paragraph,,,,,,
324,Expert,Handling Sadness,"When I feel sad, I talk to my family. It makes me feel better. They listen and help me feel happy again.",Paragraph,,,,,,
325,Expert,Watching Movies with Family,"We watch movies together as a family. It is  fun and relaxing. After, we talk about our favorite parts.",Paragraph,,,,,,
326,Expert,Being Polite,I say please and thank you. It is polite and kind. I always remember to say sorry when I make a mistake.,Paragraph,,,,,,
327,Expert,Evening Routine,"In the evening, I brush my teeth and put on pajamas. I also pick out a book for bedtime.",Paragraph,,,,,,
328,Expert,Sharing Achievements,I tell my family when I do something good. They cheer for me. I feel proud of myself when they do.,Paragraph,,,,,,
329,Expert,Celebrating with Family,We celebrate together during holidays. We eat and have fun. Sometimes we give each other presents.,Paragraph,,,,,,
330,Expert,Smiling and Saying Hello,I smile and say hello when I meet new people. It helps me make new friends.,Paragraph,,,,,,
331,Expert,Building with Toys,"I build things with my toys. I use my imagination. Sometimes, I make castles or houses.",Paragraph,,,,,,
332,Expert,Going Outside,I go outside to play. I enjoy the fresh air. I like running and jumping around in the yard.,Paragraph,,,,,,
333,Expert,Speaking Clearly,I speak clearly so others can understand me. I try to slow down when I talk.,Paragraph,,,,,,
334,Expert,Making My Bed,I make my bed in the morning. It keeps my room tidy. I feel good when my room is clean.,Paragraph,,,,,,
335,Expert,Spending Time with Friends,"I spend time with my friends after school. We play together. Sometimes, we draw pictures or play games.",Paragraph,,,,,,
336,Expert,Asking for Snacks,I ask for snacks politely. I say please and thank you. I wait patiently for my turn.,Paragraph,,,,,,
